distance_km,time_of_day,day_of_week,traffic_level,weather_level,current_delay,is_weekend,is_rush_hour,crowd_level
13.67,7,4,4,0,6.1,0,0,400.0
7.64,22,0,2,0,2.9,0,0,341.0
10.47,17,0,8,0,14.9,0,1,715.0
5.82,13,0,5,3,15.3,0,0,632.0
10.81,7,1,3,0,5.2,0,0,416.0
6.65,4,2,6,0,8.5,0,0,510.0
6.31,14,0,4,0,5.0,0,0,392.0
8.47,11,4,2,0,3.1,0,0,425.0
7.97,19,2,6,0,11.5,0,1,694.0
31.41,16,4,8,1,22.7,0,0,420.0
3.71,12,3,2,0,8.1,0,0,438.0
1.98,8,1,7,2,15.9,0,1,825.0
9.33,13,4,6,2,13.8,0,0,540.0
4.15,8,6,7,3,17.9,1,1,801.0
0.81,17,2,7,0,16.0,0,1,853.0
3.04,16,2,4,1,7.0,0,0,400.0
27.24,18,3,8,2,21.5,0,1,808.0
3.63,12,5,1,1,4.2,1,0,404.0
1.39,9,3,7,0,9.0,0,1,827.0
26.19,19,5,6,0,13.1,1,1,643.0
2.93,17,0,6,1,12.3,0,1,858.0
37.25,17,0,10,0,21.9,0,1,679.0
5.63,14,2,5,4,14.8,0,0,507.0
21.46,19,1,10,3,24.7,0,1,860.0
6.2,8,0,8,2,15.5,0,1,733.0
10.1,11,1,6,5,20.8,0,0,592.0
6.76,18,1,5,1,10.3,0,1,719.0
6.24,7,6,4,0,6.2,1,0,363.0
8.81,18,5,5,0,9.0,1,1,612.0
10.35,10,2,5,2,11.4,0,1,898.0
8.35,7,6,3,0,10.1,1,0,290.0
7.76,7,5,4,4,13.3,1,0,508.0
4.18,19,1,5,0,6.8,0,1,751.0
6.95,18,3,8,0,14.8,0,1,824.0
19.79,9,6,4,2,14.5,1,1,728.0
4.02,7,3,4,3,13.1,0,0,430.0
8.99,8,2,8,3,18.3,0,1,873.0
16.05,8,6,7,0,14.6,1,1,710.0
10.41,17,4,9,0,15.7,0,1,856.0
13.77,8,3,7,1,15.8,0,1,798.0
2.89,8,6,7,3,24.0,1,1,801.0
9.0,5,5,5,0,9.3,1,0,388.0
5.98,16,2,4,1,7.6,0,0,442.0
6.17,17,2,7,0,13.6,0,1,867.0
18.74,17,0,7,2,17.2,0,1,815.0
6.25,15,0,5,0,8.7,0,0,477.0
9.2,21,6,4,5,15.9,1,0,476.0
1.39,12,0,3,0,10.1,0,0,409.0
21.44,19,5,7,1,14.0,1,1,732.0
13.25,17,1,8,2,16.5,0,1,822.0
7.14,7,3,3,0,3.9,0,0,300.0
5.78,18,5,5,0,10.5,1,1,656.0
11.12,15,6,5,1,18.4,1,0,326.0
15.93,17,2,10,1,26.3,0,1,894.0
21.63,8,6,7,2,17.6,1,1,672.0
12.97,12,3,4,1,8.3,0,0,410.0
7.84,19,6,4,0,5.8,1,1,695.0
14.29,8,0,10,4,25.0,0,1,1000.0
12.61,0,1,4,0,7.7,0,0,406.0
7.86,9,4,8,1,13.9,0,1,899.0
12.37,13,4,6,4,18.3,0,0,503.0
12.21,18,5,9,3,20.7,1,1,697.0
7.11,17,2,6,0,9.8,0,1,705.0
4.98,20,4,5,0,6.5,0,1,745.0
11.52,12,4,6,1,14.2,0,0,510.0
3.18,11,6,3,0,11.5,1,0,323.0
2.6,8,0,8,2,16.8,0,1,952.0
9.3,8,0,9,1,17.9,0,1,968.0
11.31,18,4,7,0,10.3,0,1,723.0
9.26,7,0,5,0,10.9,0,0,559.0
9.96,8,1,7,1,12.8,0,1,705.0
11.18,19,3,9,2,18.2,0,1,975.0
18.79,15,1,5,0,14.4,0,0,397.0
13.11,6,1,3,0,8.7,0,0,357.0
12.86,17,2,7,0,12.6,0,1,775.0
8.81,13,4,3,1,5.8,0,0,348.0
9.04,19,2,8,2,16.8,0,1,942.0
6.69,17,5,6,3,15.0,1,1,703.0
9.76,0,1,6,4,19.9,0,0,496.0
3.05,8,0,7,1,12.4,0,1,751.0
18.84,9,1,9,3,22.5,0,1,813.0
3.81,17,6,5,0,15.1,1,1,656.0
13.1,13,1,3,1,7.3,0,0,335.0
17.34,18,0,7,1,15.7,0,1,769.0
13.08,13,2,3,2,22.5,0,0,374.0
28.78,9,4,8,2,21.6,0,1,873.0
1.0,7,2,2,0,7.0,0,0,393.0
5.23,8,2,8,3,30.0,0,1,945.0
17.15,11,0,4,3,16.0,0,0,487.0
2.5,14,4,3,4,11.4,0,0,604.0
3.91,20,1,9,0,19.7,0,1,928.0
10.71,8,0,9,5,23.3,0,1,909.0
7.77,17,5,8,2,15.2,1,1,698.0
10.27,7,6,2,1,7.1,1,0,305.0
8.25,17,4,8,0,12.2,0,1,877.0
8.79,2,6,2,3,9.1,1,0,334.0
4.24,17,2,8,2,15.2,0,1,872.0
8.59,8,3,6,1,14.2,0,1,809.0
5.51,8,2,10,5,27.0,0,1,864.0
6.11,15,3,3,0,8.5,0,0,411.0
12.98,10,6,7,1,12.9,1,1,744.0
2.39,12,4,4,0,7.9,0,0,432.0
0.6,9,0,6,0,9.2,0,1,870.0
12.36,21,4,4,0,5.9,0,0,453.0
8.6,9,2,8,0,14.8,0,1,789.0
17.33,14,3,5,0,8.4,0,0,414.0
4.0,19,3,7,0,14.0,0,1,823.0
6.94,17,4,7,0,15.5,0,1,690.0
7.98,9,6,8,2,21.4,1,1,769.0
4.67,14,6,1,0,4.8,1,0,210.0
3.59,7,6,0,0,0.3,1,0,253.0
12.78,14,4,2,0,3.3,0,0,379.0
2.17,12,1,2,0,7.2,0,0,385.0
3.1,18,1,5,0,6.3,0,1,711.0
6.77,19,5,6,4,18.2,1,1,782.0
13.78,8,6,6,1,18.4,1,1,842.0
4.91,7,0,4,0,6.0,0,0,288.0
4.43,11,1,4,1,9.7,0,0,459.0
6.48,14,4,3,0,10.1,0,0,373.0
9.62,10,1,9,2,21.6,0,1,856.0
5.75,16,0,6,4,16.5,0,0,531.0
14.95,13,6,4,0,9.2,1,0,272.0
15.36,20,0,8,0,12.8,0,1,819.0
6.77,11,1,3,1,5.7,0,0,390.0
24.01,7,6,4,0,10.9,1,0,127.0
7.85,9,0,7,0,17.1,0,1,889.0
15.03,16,5,4,1,12.6,1,0,384.0
9.44,9,3,8,1,20.4,0,1,810.0
9.32,9,3,7,0,21.3,0,1,821.0
1.71,10,5,6,2,18.8,1,1,838.0
2.87,18,0,6,0,8.3,0,1,852.0
5.98,21,0,2,0,4.9,0,0,455.0
15.29,10,1,6,2,16.2,0,1,808.0
9.53,8,3,6,1,11.0,0,1,828.0
6.02,11,6,3,1,8.2,1,0,410.0
11.39,10,0,8,1,14.8,0,1,801.0
14.92,23,2,5,1,13.2,0,0,453.0
7.5,12,3,4,3,12.4,0,0,339.0
8.75,17,1,6,1,11.6,0,1,693.0
7.98,20,2,6,0,13.6,0,1,813.0
7.16,16,1,3,2,9.5,0,0,467.0
3.97,8,0,4,0,8.3,0,1,726.0
3.71,16,3,2,2,11.4,0,0,395.0
11.34,11,6,4,0,5.7,1,0,277.0
15.11,11,2,6,0,11.3,0,0,435.0
6.01,22,4,5,2,14.6,0,0,346.0
5.9,9,4,7,1,12.3,0,1,848.0
1.26,12,5,0,0,0.5,1,0,258.0
1.02,8,5,5,0,6.1,1,1,699.0
17.68,8,6,7,2,16.8,1,1,697.0
4.18,16,5,5,5,18.9,1,0,375.0
30.04,18,6,7,0,13.2,1,1,545.0
4.81,16,6,3,0,12.8,1,0,422.0
1.77,9,5,7,0,10.7,1,1,692.0
8.02,6,3,3,0,20.2,0,0,477.0
12.68,12,2,7,0,16.2,0,0,403.0
11.75,13,3,3,3,28.6,0,0,478.0
13.53,18,5,5,1,12.5,1,1,634.0
3.32,16,5,2,0,4.0,1,0,276.0
17.4,19,3,8,0,13.7,0,1,756.0
18.07,18,0,7,0,19.0,0,1,858.0
18.58,10,1,7,1,13.5,0,1,883.0
8.97,16,4,6,0,10.8,0,0,464.0
5.66,18,2,6,0,8.1,0,1,752.0
5.27,21,3,3,1,6.2,0,0,333.0
1.76,11,2,5,0,8.7,0,0,374.0
4.89,17,0,8,1,17.3,0,1,945.0
0.54,11,3,6,3,13.8,0,0,451.0
1.52,18,3,6,0,8.0,0,1,769.0
8.9,20,5,4,0,5.9,1,1,639.0
6.17,20,0,8,3,18.8,0,1,729.0
8.63,8,3,5,0,7.0,0,1,667.0
12.03,8,5,6,0,13.4,1,1,594.0
9.77,18,1,8,2,17.1,0,1,809.0
9.21,16,2,5,1,10.0,0,0,458.0
7.0,20,0,8,4,23.9,0,1,972.0
4.06,9,4,7,0,10.0,0,1,768.0
2.52,19,5,4,0,4.4,1,1,626.0
5.0,17,3,8,0,12.0,0,1,820.0
7.09,8,2,7,0,10.9,0,1,748.0
7.75,7,5,2,1,6.7,1,0,320.0
13.55,17,3,7,0,13.5,0,1,802.0
6.63,8,2,8,0,17.1,0,1,672.0
10.88,18,5,6,0,13.5,1,1,718.0
2.02,15,1,2,0,1.8,0,0,390.0
8.99,13,5,2,0,3.3,1,0,281.0
8.55,9,1,8,1,13.5,0,1,901.0
17.41,22,3,3,0,7.5,0,0,241.0
6.17,17,1,6,2,19.2,0,1,761.0
5.97,18,4,7,0,12.0,0,1,801.0
12.09,18,3,8,0,19.5,0,1,679.0
2.71,15,1,7,4,23.8,0,0,579.0
8.83,20,5,8,4,23.6,1,1,862.0
2.58,15,6,0,0,0.0,1,0,272.0
22.5,14,0,6,0,19.6,0,0,420.0
5.38,9,3,9,3,18.5,0,1,891.0
2.43,9,5,3,1,13.7,1,1,652.0
4.97,18,5,4,0,9.1,1,1,628.0
8.87,10,1,6,0,12.4,0,1,789.0
10.65,17,0,8,0,21.5,0,1,738.0
16.82,21,3,2,2,11.7,0,0,461.0
4.5,12,4,4,1,7.2,0,0,393.0
12.46,7,2,4,0,17.7,0,0,452.0
1.52,17,2,3,0,3.7,0,1,733.0
3.12,1,3,4,0,5.5,0,0,355.0
2.08,18,3,8,2,18.3,0,1,965.0
3.87,14,3,4,3,16.6,0,0,561.0
12.09,13,4,3,1,9.6,0,0,298.0
4.59,15,6,2,2,6.7,1,0,319.0
5.31,14,5,0,0,9.8,1,0,278.0
9.03,9,0,7,1,12.7,0,1,683.0
10.35,9,2,7,0,10.9,0,1,655.0
5.44,11,0,2,0,9.4,0,0,340.0
3.1,19,6,6,0,12.7,1,1,633.0
20.18,7,4,5,3,15.5,0,0,375.0
5.46,9,1,7,0,9.4,0,1,721.0
5.9,8,5,5,0,9.6,1,1,665.0
6.48,11,3,5,3,13.6,0,0,440.0
11.1,7,0,6,2,26.5,0,0,582.0
1.92,18,1,6,0,8.8,0,1,807.0
25.24,7,5,4,0,11.2,1,0,300.0
5.77,17,2,9,3,19.4,0,1,805.0
11.36,9,3,7,0,10.2,0,1,738.0
2.45,12,6,4,0,5.2,1,0,345.0
8.4,8,2,6,0,10.6,0,1,799.0
22.8,17,0,7,0,15.9,0,1,702.0
20.79,21,0,4,1,13.0,0,0,351.0
11.16,8,6,7,2,15.8,1,1,708.0
3.65,21,4,3,0,3.3,0,0,380.0
16.25,9,2,8,5,22.8,0,1,1000.0
1.51,15,0,5,1,10.6,0,0,498.0
3.54,17,4,9,1,20.9,0,1,895.0
7.03,8,0,6,0,10.5,0,1,702.0
1.66,12,0,2,0,1.3,0,0,308.0
4.96,6,4,6,1,10.9,0,0,470.0
12.63,17,4,8,2,16.9,0,1,904.0
4.21,11,3,4,0,5.3,0,0,407.0
13.03,19,6,6,0,11.2,1,1,654.0
29.52,9,1,7,0,14.6,0,1,662.0
9.79,20,3,6,0,9.3,0,1,657.0
12.88,7,2,4,0,8.1,0,0,415.0
16.61,16,2,3,0,6.1,0,0,332.0
5.33,9,1,7,0,16.9,0,1,849.0
12.68,8,5,7,3,16.8,1,1,751.0
5.23,7,4,3,2,9.0,0,0,378.0
9.32,17,4,8,0,14.5,0,1,829.0
13.97,8,0,8,0,12.8,0,1,712.0
3.8,15,0,4,0,5.5,0,0,434.0
0.61,22,5,2,0,6.8,1,0,310.0
3.5,9,4,5,2,11.2,0,1,898.0
15.35,6,0,3,0,5.8,0,0,300.0
3.13,7,4,3,3,9.8,0,0,382.0
14.79,7,6,3,0,9.6,1,0,251.0
3.51,12,5,4,5,21.4,1,0,487.0
6.32,18,1,8,2,28.8,0,1,732.0
7.39,9,2,9,2,18.7,0,1,935.0
3.12,7,5,2,4,10.0,1,0,355.0
6.37,16,2,2,0,9.5,0,0,317.0
1.77,9,5,5,0,9.0,1,1,667.0
5.71,15,6,2,0,13.9,1,0,268.0
6.95,20,2,6,2,19.2,0,1,759.0
0.65,9,4,9,3,17.9,0,1,808.0
3.47,13,3,5,0,10.3,0,0,499.0
9.12,18,3,8,2,15.7,0,1,814.0
2.81,17,0,5,0,6.2,0,1,742.0
10.19,18,6,6,0,8.6,1,1,719.0
10.88,18,3,8,1,14.7,0,1,826.0
9.09,14,1,3,0,4.1,0,0,282.0
12.57,14,4,5,0,8.9,0,0,451.0
1.65,17,2,7,2,12.8,0,1,944.0
14.39,17,5,8,1,15.5,1,1,750.0
3.16,17,5,6,1,9.5,1,1,664.0
8.02,10,2,7,0,12.1,0,1,708.0
22.23,18,4,8,0,15.5,0,1,706.0
5.61,8,0,9,1,15.3,0,1,873.0
7.53,8,6,8,3,17.5,1,1,870.0
3.18,10,3,6,0,10.6,0,1,750.0
22.09,9,4,7,2,16.6,0,1,735.0
3.48,17,4,6,2,12.2,0,1,888.0
11.54,8,2,5,2,17.2,0,1,762.0
16.59,17,4,8,1,15.3,0,1,902.0
12.28,13,2,3,0,5.0,0,0,355.0
9.49,7,4,4,2,12.7,0,0,515.0
7.93,9,0,8,0,11.8,0,1,837.0
2.43,14,1,3,0,5.3,0,0,451.0
21.46,18,6,8,0,14.3,1,1,660.0
8.95,11,5,2,0,2.7,1,0,257.0
7.53,8,0,6,1,15.8,0,1,831.0
2.94,9,1,6,3,13.9,0,1,896.0
7.8,7,3,4,0,5.9,0,0,436.0
7.19,5,0,5,0,6.8,0,0,322.0
22.23,22,2,5,4,18.6,0,0,467.0
7.53,7,2,2,0,7.9,0,0,336.0
7.71,7,0,5,0,7.4,0,0,395.0
2.98,19,2,6,3,14.6,0,1,878.0
4.09,17,2,9,4,31.3,0,1,1000.0
10.62,12,0,3,1,9.3,0,0,384.0
1.34,17,4,7,0,11.9,0,1,944.0
14.34,20,1,9,1,15.8,0,1,763.0
14.59,7,0,6,3,16.7,0,0,558.0
3.74,8,0,7,3,17.0,0,1,898.0
9.51,19,6,7,0,10.0,1,1,706.0
16.94,18,0,9,3,21.3,0,1,945.0
6.77,23,6,7,1,14.5,1,0,375.0
5.85,9,1,5,0,10.4,0,1,842.0
6.42,21,0,1,0,0.5,0,0,328.0
8.94,10,3,8,0,11.7,0,1,770.0
4.53,17,6,7,4,17.9,1,1,716.0
5.48,19,0,7,0,13.8,0,1,908.0
9.06,8,2,6,2,17.0,0,1,885.0
5.13,8,5,5,0,8.3,1,1,643.0
2.75,15,0,5,2,11.6,0,0,523.0
1.21,19,1,6,0,9.4,0,1,808.0
7.64,7,2,5,4,20.7,0,0,503.0
16.26,19,5,5,1,14.6,1,1,713.0
9.85,10,5,7,2,16.0,1,1,700.0
2.84,11,4,5,1,18.7,0,0,366.0
4.06,10,4,5,1,8.2,0,1,796.0
5.82,20,0,7,4,17.5,0,1,882.0
22.68,7,1,5,0,11.3,0,0,336.0
23.47,15,6,3,3,13.2,1,0,236.0
21.74,7,5,4,0,15.0,1,0,186.0
8.21,20,1,7,1,13.1,0,1,791.0
40.0,18,4,9,3,28.3,0,1,726.0
4.23,8,5,8,3,16.7,1,1,855.0
5.66,9,5,6,0,23.7,1,1,765.0
13.61,10,6,6,0,9.5,1,1,626.0
9.09,11,3,2,2,8.7,0,0,431.0
9.46,18,0,7,0,11.2,0,1,781.0
3.28,15,5,2,4,9.9,1,0,351.0
7.15,11,0,3,0,6.0,0,0,387.0
4.28,17,4,6,0,8.7,0,1,891.0
2.27,12,5,5,2,9.9,1,0,436.0
4.7,7,0,3,0,13.6,0,0,406.0
9.1,7,5,1,0,3.8,1,0,302.0
12.17,9,5,7,0,12.8,1,1,741.0
1.17,16,4,6,5,22.9,0,0,607.0
7.4,7,2,5,1,12.0,0,0,437.0
6.92,14,1,7,5,20.2,0,0,552.0
8.77,9,4,9,0,15.6,0,1,775.0
2.89,17,1,5,0,8.0,0,1,782.0
2.94,5,4,2,0,6.7,0,0,356.0
16.55,12,1,5,0,15.1,0,0,385.0
3.78,6,2,3,0,5.7,0,0,442.0
5.45,9,3,6,0,12.5,0,1,892.0
5.89,4,1,2,0,4.0,0,0,394.0
4.35,12,5,3,2,11.5,1,0,351.0
10.4,18,4,7,0,11.9,0,1,784.0
9.81,7,0,4,1,7.8,0,0,484.0
6.69,18,5,4,0,7.2,1,1,667.0
4.56,15,5,4,1,13.0,1,0,376.0
6.3,13,5,3,2,9.6,1,0,358.0
7.86,16,4,6,2,17.3,0,0,417.0
4.07,10,4,5,3,12.8,0,1,846.0
10.93,17,2,7,0,19.1,0,1,752.0
14.27,18,1,6,0,13.0,0,1,776.0
18.39,18,1,9,3,21.9,0,1,813.0
17.67,9,2,10,4,25.7,0,1,939.0
5.86,17,2,7,1,13.5,0,1,815.0
8.14,7,5,2,0,3.6,1,0,201.0
6.59,13,3,4,2,12.1,0,0,439.0
6.58,0,2,4,5,15.1,0,0,640.0
6.27,8,5,4,0,16.6,1,1,537.0
7.5,16,5,3,0,3.8,1,0,302.0
15.82,19,6,6,3,22.5,1,1,666.0
9.29,6,2,6,2,15.5,0,0,573.0
2.78,15,1,4,0,7.5,0,0,481.0
13.87,16,0,5,0,15.6,0,0,436.0
8.68,20,1,7,1,17.6,0,1,879.0
10.48,17,4,7,2,17.2,0,1,843.0
9.16,7,5,3,2,12.0,1,0,337.0
9.46,7,4,4,0,8.4,0,0,369.0
9.76,16,6,0,0,0.0,1,0,194.0
1.45,8,4,9,2,16.8,0,1,876.0
10.39,20,6,5,0,7.7,1,1,647.0
4.21,20,1,6,0,9.8,0,1,675.0
5.12,21,2,4,1,7.1,0,0,496.0
7.46,9,5,5,0,8.8,1,1,780.0
20.25,17,4,7,2,17.0,0,1,758.0
3.22,17,3,7,0,19.4,0,1,910.0
7.27,6,6,4,2,10.0,1,0,349.0
6.15,9,5,3,1,11.0,1,1,617.0
13.74,8,2,6,1,12.7,0,1,745.0
6.03,10,4,9,3,25.3,0,1,928.0
8.75,21,2,4,0,9.4,0,0,368.0
3.23,19,2,8,2,17.2,0,1,915.0
15.28,9,5,5,0,7.8,1,1,593.0
2.09,14,4,6,5,18.9,0,0,511.0
10.3,8,0,5,0,9.2,0,1,740.0
8.79,9,4,7,1,14.3,0,1,772.0
9.71,6,4,2,0,6.8,0,0,343.0
2.12,16,3,3,0,5.7,0,0,408.0
5.93,17,2,5,0,6.5,0,1,672.0
13.31,19,4,8,0,13.7,0,1,883.0
22.19,19,6,6,0,13.8,1,1,678.0
6.88,8,0,6,0,12.2,0,1,746.0
12.49,18,4,9,2,21.9,0,1,868.0
8.2,7,6,1,0,2.6,1,0,287.0
7.15,10,2,7,0,9.9,0,1,806.0
5.42,14,2,4,4,13.6,0,0,607.0
7.48,6,1,5,1,16.9,0,0,457.0
11.76,8,1,7,0,15.4,0,1,861.0
12.41,9,2,8,0,15.3,0,1,724.0
2.55,7,5,2,0,8.4,1,0,239.0
5.05,20,1,4,1,8.3,0,1,859.0
3.09,9,1,7,3,15.6,0,1,845.0
7.76,13,6,4,1,7.2,1,0,263.0
5.77,23,6,4,5,16.1,1,0,421.0
9.48,15,1,2,2,8.1,0,0,471.0
9.94,11,2,6,5,20.7,0,0,500.0
0.77,20,2,7,1,13.8,0,1,845.0
7.44,8,2,6,1,12.3,0,1,684.0
16.02,8,1,8,2,17.8,0,1,795.0
5.05,14,0,3,2,8.9,0,0,496.0
4.94,11,4,4,0,7.7,0,0,376.0
14.26,18,0,7,0,13.6,0,1,696.0
12.79,6,4,2,0,6.1,0,0,300.0
3.37,16,0,3,0,5.6,0,0,369.0
11.97,17,1,7,3,19.2,0,1,888.0
4.03,22,0,6,2,16.4,0,0,540.0
4.9,7,2,4,0,5.7,0,0,451.0
3.37,8,2,6,0,15.0,0,1,810.0
2.53,20,2,6,0,16.0,0,1,777.0
8.08,16,2,5,2,16.1,0,0,433.0
2.19,6,6,3,3,17.1,1,0,423.0
8.32,6,3,4,0,7.9,0,0,504.0
8.13,18,5,7,0,14.2,1,1,656.0
6.66,15,1,5,4,16.5,0,0,454.0
5.24,15,3,6,1,11.2,0,0,414.0
4.47,19,0,9,3,29.5,0,1,992.0
3.01,8,1,7,0,10.1,0,1,810.0
18.48,8,0,7,0,14.1,0,1,788.0
6.44,16,0,4,1,7.2,0,0,398.0
6.28,19,1,6,0,10.9,0,1,820.0
3.51,9,1,7,3,16.0,0,1,853.0
17.24,17,2,9,2,21.2,0,1,753.0
4.7,7,5,1,0,0.6,1,0,314.0
8.88,8,1,6,0,8.9,0,1,763.0
10.09,20,4,7,2,17.8,0,1,813.0
8.09,7,2,4,4,13.4,0,0,499.0
2.14,5,2,4,0,4.6,0,0,340.0
11.64,18,6,6,2,13.8,1,1,731.0
4.66,10,3,8,0,18.0,0,1,811.0
12.71,11,1,5,3,13.6,0,0,456.0
7.11,18,1,7,1,14.4,0,1,890.0
10.51,8,1,6,0,9.7,0,1,798.0
16.52,17,5,7,2,17.1,1,1,700.0
11.35,9,4,8,2,23.3,0,1,855.0
10.68,7,1,5,2,17.4,0,0,319.0
11.99,17,3,7,0,14.1,0,1,735.0
3.91,9,3,10,2,17.8,0,1,924.0
13.06,19,0,8,2,18.5,0,1,793.0
6.08,20,6,4,0,5.2,1,1,561.0
6.23,19,5,4,0,9.2,1,1,680.0
7.91,9,3,9,3,20.3,0,1,978.0
5.66,8,5,5,1,11.6,1,1,650.0
3.26,19,0,7,0,10.5,0,1,865.0
7.48,12,6,4,3,12.0,1,0,420.0
6.25,17,4,8,0,11.4,0,1,761.0
6.09,18,6,5,2,11.0,1,1,660.0
6.94,9,6,6,0,12.9,1,1,804.0
0.87,7,4,3,0,9.5,0,0,362.0
6.12,16,2,5,5,18.3,0,0,501.0
17.85,15,4,5,2,13.7,0,0,547.0
16.95,9,3,8,0,13.4,0,1,744.0
7.67,15,2,4,4,16.5,0,0,574.0
7.49,18,4,9,4,20.7,0,1,855.0
0.61,10,6,7,2,19.0,1,1,797.0
4.87,8,1,8,0,16.6,0,1,907.0
11.91,17,3,7,0,11.3,0,1,748.0
5.56,18,5,6,2,13.6,1,1,738.0
14.63,21,2,4,3,12.5,0,0,480.0
14.06,7,2,3,0,4.7,0,0,301.0
4.8,19,0,5,0,6.5,0,1,892.0
