stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
51,DC3576,Metro Train Depot,28.674383,77.243117,51.0
52,U03019,Shyam Giri Mandir,28.6741,77.24775,52.0
53,DC3577,Shastri Park,28.673083,77.25405,53.0
55,U03184,Dharampura,28.67085,77.262183,55.0
56,U03193,Seelampur Metro Station,28.670783,77.265423,56.0
57,U03268,Seelam Pur Petrol Pump,28.672117,77.27346700000002,57.0
58,U03300,Welcome Metro Station,28.67278300000001,77.27715,58.0
59,U03350,Shahdara (Shyam Lal College),28.6736,77.28353299999998,59.0
60,U03509,Mansarovar Park Metro Station,28.6759,77.2999,60.0
61,U03614,Telephone Exchange,28.676067,77.30925,61.0
62,U03636,Jhilmil Crossing / Dilshad Garden GT Road,28.67615,77.311883,62.0
63,U03746,Shahdra Border,28.6758,77.3231,63.0
64,U99883A,Surya Nagar,28.6668,77.3217,64.0
65,U03715,Ram Prastha Temple,28.6631,77.3205,65.0
66,U03712,Ram Prastha Crossing,28.6608,77.3202,66.0
67,DC3612,Anand Vihar ISBT Main Road,28.64696,77.317879,67.0
68,U03679,Anand Vihar ISBT Terminal,28.64671,77.31461800000002,68.0
69,DC3531,Kair Depot,28.618288,76.930672,69.0
70,DC4030,Mitraon Village (Dhansa Road),28.608268579943104,76.94478225753659,70.0
71,U00079,Mitraon School,28.6069,76.9394,71.0
72,U00067,Surehra Crossing,28.60418,76.93233199999997,72.0
73,U00051,Rawta Crossing,28.600134000000004,76.915856,73.0
74,DC4018,Jaffarpur RTRM Hospital,28.595235,76.915487,74.0
75,DC4008,Samaspur Khalsa,28.578317,76.909933,75.0
76,U00143,Tikri Border Metro Station,28.688172,76.96445899999998,76.0
77,U00165,Tikari Village,28.6875,76.9708,77.0
78,U00194,Tikri Hospital,28.6869,76.9783,78.0
79,U00211,Tikri Piyau / Azad Hind Gram,28.686817,76.979933,79.0
80,DC3758,Indian Oil Corporation,28.686267,76.986533,80.0
81,U00282,Ghevra Crossing (Kanjhawala Road),28.685716999999997,76.99453299999998,81.0
82,U00271,FCI Ghevra,28.6927,76.9938,82.0
83,U00290,Ghevra Village,28.696286,76.997661,83.0
84,U00302,Sir Chhotu Ram Polytechnic,28.707177,77.00108399999998,84.0
85,U00317,Kanjhawala Haryana Shakti C-School,28.713983,77.00326700000002,85.0
86,U00322,Desu Sub Station,28.723216666666698,77.0044833333333,86.0
87,U00312,Kanjhawala Depot (Narela Road),28.727519,77.00254100000002,87.0
88,U00327,Kanjhawala Village,28.734185,77.0049,88.0
89,DC5154,Kanjhawla Chowk,28.738005,77.007551,89.0
90,DC4516,SDM Court Kanjhawala,28.74049,77.00948100000002,90.0
91,DC4517,Chandpur Crossing,28.751281,77.01430500000002,91.0
92,DC5155,Chand Pur Village,28.75137,77.00975,92.0
93,DC5158,Chand Pur Village,28.753290000000003,77.00775,93.0
94,DC5159,Chand Pur Majra School,28.75895,76.99894,94.0
95,DC5161,Majra Dabas Village,28.76899,76.99852,95.0
96,DC4519,Prem Piyau,28.76663,77.01638,96.0
97,DC4520,Shri Krishna Gaushala,28.77931400000001,77.021694,97.0
98,DC4521,Bajit Pur Xing,28.784999,77.023967,98.0
99,DC4522,Krishna Vihar,28.789732,77.027956,99.0
100,DC4523,Ishwar Colony,28.794758,77.029958,100.0
101,DC4524,Panchayat Ghar,28.797927,77.031801,101.0
102,DC4525,Primary School,28.797763,77.034409,102.0
103,DC4526,Bawana Village,28.799966,77.035368,103.0
104,U01343,Badli Railway Staion,28.7453,77.137333,104.0
105,U01390,Samaypur School,28.744211,77.14307600000002,105.0
106,DC3772,Prem Nagar,28.74288300000001,77.146467,106.0
107,U02440,Ice Factory,28.6678,77.2101,107.0
108,U02716,ISBT Kashmere Gate (Lothian Road),28.66685,77.229517,108.0
109,U02791,Guru Govind Singh University (Kashmere Gate),28.6657,77.23,109.0
110,U02842,GPO,28.6617166666667,77.2354,110.0
111,U02739,Old Delhi Railway Station,28.660087,77.227876,111.0
112,U03402,Shahdara Terminal,28.674219,77.28718,112.0
113,U03349,Shahdara (Shyam Lal College),28.67336400000001,77.283725,113.0
114,U03340,Kanti Nagar Extension,28.6704,77.2809,114.0
115,U03346,Jharkhandi,28.66785,77.28225,115.0
116,U03384,East Azad Nagar,28.666167,77.283917,116.0
117,U03394,Swaran Cinema,28.6636,77.285933,117.0
118,U03404,Krishna Nagar A Block,28.661,77.2878,118.0
119,U03430,Hans Apartment,28.6582,77.29,119.0
120,U03444,Arjun Nagar,28.6564,77.2915,120.0
121,U03457,Radheypuri,28.654,77.2925,121.0
122,U03461,JagatpuriA Block,28.651833,77.293083,122.0
123,U03476,Jagatpuri F-Block,28.648036,77.295529,123.0
124,U99881,Gagan Vihar,28.6455,77.2979,124.0
125,U03500,Karkardooma Xing,28.642867,77.29725,125.0
126,U03485,New Rajdhani Enclave,28.64215,77.29625,126.0
127,DC0109,Preet Vihar,28.639333,77.292417,127.0
128,U03416,Nirman Vihar,28.636783,77.287683,128.0
129,U03380,Shakarpur Crossing,28.635367,77.28495,129.0
130,U03345,Shakarpur,28.633517,77.282067,130.0
131,U03307,Laxmi Nagar,28.6313,77.2789,131.0
132,U03160,Rainy Well,28.628017,77.26095,132.0
133,U03055,Delhi Secretariat,28.62795,77.25235,133.0
134,U02961,ITO,28.627883,77.24335,134.0
135,U02887,Tilak Bridge,28.6253,77.2387,135.0
136,U02831,Mandi House,28.625567,77.233933,136.0
137,U02790,Mandi House,28.625035,77.230571,137.0
138,DC4132,Kasturba Gandhi Road Crossing,28.623228000000005,77.226725,138.0
139,U02621,Firoz Shah Road,28.621,77.2215,139.0
140,DC4133,Le Meridian Hotel / Rajendra Prasad Road,28.619225,77.21752099999998,140.0
141,U02495SB,Krishi Bhawan,28.6169,77.213617,141.0
142,U02444,Red Cross Road,28.618035,77.210453,142.0
143,U02437,Aakashwani Bhawan (Imtiyaz Ali Road),28.62065,77.2098,143.0
144,U02375,Gurudwara Rakab Ganj Road,28.6209,77.2073,144.0
145,U02293Z,Kendriya Terminal (Church Road),28.617308,77.203983,145.0
146,U00191,Najafgarh Terminal,28.614614000000003,76.978024,146.0
147,U00201,Jharoda Crossing/Nazafgarh Terminal,28.613617,76.97971700000002,147.0
148,DC3555,Jharoda Crossing,28.614082,76.980687,148.0
149,DC3556,Health Centre,28.61415,76.985217,149.0
150,U00259,NajafGarh Delhi Gate,28.612627000000003,76.986253,150.0
151,U00260,Tuda Mandi,28.612622,76.99150999999998,151.0
152,U00279,Power House NajafGarh,28.61325,76.996217,152.0
153,U00291,Sai Baba Mandir (Nazafgarh),28.61375,76.99985,153.0
154,U00314,Nangli Sakrawati,28.614667,77.0034,154.0
155,U00331,Nangli Sakrawati Crossing,28.616417,77.007333,155.0
156,U00355,Arjun Park,28.618,77.012067,156.0
157,DC4882,Chhathh Ghat Park,28.619105,77.015167,157.0
158,U00368,Nangli Dairy,28.62013300000001,77.01795,158.0
159,U00378,Kakrola Bridge,28.6201,77.024509,159.0
160,U00387,Kakrola More,28.619347,77.028577,160.0
161,U00395,Kakrola Crossing / Dwarka More,28.6190046863409,77.03117079452271,161.0
162,DC3568,Dwarka More Metro Station (Sewak Park),28.619332,77.03250799999998,162.0
163,U00425,Rama Park,28.619965000000004,77.03671899999998,163.0
164,U00453,Mohan Garden,28.620385,77.04079499999997,164.0
165,U00464,Nawada Gaon,28.620348999999997,77.044853,165.0
166,U00491,Kiran Garden,28.62081,77.048338,166.0
167,U00503,Om Vihar,28.621124,77.05154300000002,167.0
168,U00538,Prem Nagar,28.62211,77.056846,168.0
169,U00561,Uttam Nagar,28.623017,77.06031,169.0
170,U00601,Uttam Nagar / A1 Janak Puri,28.624767,77.06775,170.0
171,U00623,Tilak Pul,28.6215,77.07,171.0
172,U00651,Jivan park,28.62,77.0733,172.0
173,U00680,C-1 Janak Puri,28.6182,77.077017,173.0
174,U00698,C-1 Janak Puri,28.6174,77.0785,174.0
175,U00741,C-2 Janak Puri,28.616099,77.081447,175.0
176,DC4710,C2D Janak Puri,28.614296000000003,77.085552,176.0
177,U00813,Dabri Crossing (Pankha Road),28.613374,77.087756,177.0
178,U00876,Janak Cinema,28.610936,77.093097,178.0
179,U00907,Desu Colony Janak Puri,28.610011,77.095348,179.0
180,U00974,SagarPur Vashisht Park,28.60921500000001,77.101033,180.0
181,U01004,D Block Janak Puri,28.61096,77.103583,181.0
182,U01019,Lajwanti Garden,28.614,77.1062,182.0
183,U01044,Lajwanti Garden (Carriappa Marg),28.61313,77.109679,183.0
184,U01079,Janak Setu,28.6107,77.1139,184.0
185,U01164,Supply Depot,28.606783,77.123367,185.0
186,U04005A,Kirbi Place,28.60483300000001,77.128283,186.0
187,NS0256,Thimiyan Park,28.602817,77.133517,187.0
188,U01356CV,S O Flats Carriappa Marg,28.600317,77.13973299999998,188.0
189,U01481,R R Line,28.596167,77.1504,189.0
190,U01594,Golf Club,28.592967,77.15848299999998,190.0
191,U01636,Dhaula Kuan,28.592987,77.162867,191.0
192,U02453,BBM Cluster Depot,28.703583,77.21068299999997,192.0
193,U02420,Sewa Kutir,28.702162,77.209581,193.0
194,DC3717,GTB Nagar / Haqiqat Nagar,28.69815800000001,77.207636,194.0
195,U02467,INS Hostel,28.6961333333333,77.2122666666667,195.0
196,U02515,Vishwa Vidyalaya Metro Station,28.695039,77.215261,196.0
197,U02572,Mall Road,28.693783000000003,77.21866700000002,197.0
198,U02594,Banarsi Daas Estate Timarpur,28.69714,77.220359,198.0
199,U02599,Timarpur,28.701233333333303,77.2212666666667,199.0
200,DC3745,Balak Ram Hospital,28.7054,77.22316667,200.0
201,U02656,Police Station Timarpur,28.707017,77.223917,201.0
202,U02705,Nehru Vihar Crossing,28.709067,77.226233,202.0
203,U02737,Wazirabad Crossing,28.711467,77.228167,203.0
204,DC3724,Gurudwara Nanak Sar,28.710233,77.24136700000003,204.0
205,DC3725,Pusta No 1 Sonia Vihar,28.7189,77.24325,205.0
206,DC3727,Pusta No 2 Sonia Vihar,28.721517,77.24386700000002,206.0
207,DC3729,Pusta No 3 Sonia Vihar,28.725583,77.2448,207.0
208,DC3731,Gatta Factory Sonia Vihar,28.730183,77.24575,208.0
209,DC3732,Sonia Vihar,28.7324,77.24623299999998,209.0
210,DC3734,Pusta No 5 Sonia Vihar,28.734583,77.246633,210.0
211,DC3737,Check Post,28.739367,77.24745,211.0
212,DC3738,Annpurna Mandir,28.74245,77.246567,212.0
213,DC3740,Sabhapur More,28.750167,77.24385,213.0
214,DC3742,Chauhan Patti (Terminal),28.754767,77.24325,214.0
215,DC4197,NHAI Building/ Dwarka Sec-10 Metro Station,28.578409000000004,77.058932,215.0
216,DC4346,Dwarka Sec-19 Modern School,28.578591,77.054908,216.0
217,DC4344,Amrohi More,28.574383,77.05115,217.0
218,DC4342,St Marry School,28.573412,77.048418,218.0
219,DC4340,Police Post,28.577292,77.035195,219.0
220,DC4338,Qutub Vihar Phase-I Kikar Stand,28.578247,77.02915,220.0
221,DC4336,Jhankar Crossing,28.57905,77.024348,221.0
222,DC4334,Goyla Dairy,28.579766,77.021478,222.0
223,DC4332,Nehru Bus Stand Goyla Dairy,28.580346,77.019327,223.0
224,DC4330,St Thomas School Goyla Vihar,28.581816,77.015072,224.0
225,DC4328,Taj Pur More,28.58327,77.011534,225.0
226,DC4326,Goyla Village,28.587476,77.008636,226.0
227,DC4324,Shyam Vihar,28.591403000000003,77.000404,227.0
228,U00266,Goela Dairy Crossing,28.591084,76.9931,228.0
229,U00262,Deenpur Village,28.5933,76.9918,229.0
230,U00254,Durga Vihar,28.5965,76.9902,230.0
231,U00249,BDO Office Roshan Pura,28.600503000000003,76.988603,231.0
232,U00229,Chhawla Stand Najafgarh,28.6084,76.9853,232.0
233,U00226,Police Station Najafgarh,28.6096,76.9827,233.0
234,U00190,Nazafgarh Dhansa More,28.612021,76.978565,234.0
235,U00217,Dichau Chowk,28.6173,76.983867,235.0
236,U00234,Udaseen Ashram,28.621783,76.988067,236.0
237,U00252,Nirmal Vihar,28.62545,76.99243299999998,237.0
238,U00288,Dichau Kalan Depot,28.629315,76.997763,238.0
239,DC0018,Azad Pur Terminal,28.707535,77.17819200000002,239.0
240,U01780,New Sabzi Mandi,28.7139,77.1725,240.0
241,U01761,Adarsh Nagar / Bharola Village,28.715917,77.170867,241.0
242,U01699,Sarai Peepal Thala,28.720417,77.166983,242.0
243,DC3598,Mahindra Park,28.7215333333333,77.166,243.0
244,DC3599,Jahangir Puri GT Road,28.7251,77.163217,244.0
245,DC3600,Jahangir Puri Metro Station,28.7273,77.161583,245.0
246,U01582,GTK Depot,28.731183,77.158617,246.0
247,DC3601,Mukarba Chowk,28.73465,77.15576899999998,247.0
248,DC3602,Sanjay Gandhi Transport Nagar,28.738331,77.154234,248.0
249,U01479,Libas Pur GT Road,28.752467,77.149383,249.0
250,U01464,Swaroop Nagar GT Road,28.75805,77.14765,250.0
251,DC4802,Gurudwara Siraspur GT Road,28.76486,77.145315,251.0
252,DC5178,Nangli Poona More,28.771708,77.142899,252.0
253,DC5180,Khera Garhi,28.771944,77.121967,253.0
254,DC5182,Khera Kalan School,28.771903,77.117675,254.0
255,DC5184,Khera Kalan Gaon,28.772345,77.115104,255.0
256,DC5186,Rishi Dharmarth Chikitsalaya,28.773931,77.104022,256.0
257,DC5188,Khera Khurd Village,28.773947,77.100381,257.0
258,DC5191,Khera Khurd Nahar Crossing,28.773761,77.09241,258.0
259,DC5192,Naya Bans,28.783337,77.096637,259.0
260,DC5194,Mann School,28.793447,77.095545,260.0
261,DC5096,Holambi Khurd DRID College,28.795391,77.09778399999998,261.0
262,DC5098,Holambi Khurd,28.799721,77.096011,262.0
263,DC5100,Holambi Kalan Terminal,28.801883,77.096003,263.0
264,DC4996,Holambi Kalan Crossing,28.809564,77.107095,264.0
265,DC4998,Shahpur Garhi,28.817688,77.102397,265.0
266,DC5000,Narela ITI / Narela Depot,28.820295,77.101135,266.0
267,DC5002,DSIDC Narela,28.821204,77.100678,267.0
268,DC5004,Bhor Garh,28.829162,77.094509,268.0
269,DC5006,Babu Jag Jeevan Ram Colony,28.833012,77.093266,269.0
270,DC4537,Old Anaj Mandi,28.845686,77.08874399999998,270.0
271,DC4538,Narela Primary School,28.846917,77.088291,271.0
272,DC4364,Keshav Nagar Mukti Ashram,28.779253000000004,77.179936,272.0
273,DC4362,Ibrahim Pur More,28.775793,77.17966899999998,273.0
274,DC3796,Natthupura Crossing Terminal,28.768883,77.18078299999998,274.0
275,U01942,Amrit Vihar Colony,28.7645,77.1838,275.0
276,U02050,Koushik Enclave,28.761167,77.18871700000003,276.0
277,U02086,Laxmi Vihar,28.76015,77.1910833333333,277.0
278,DC0054,Ekta Garden- Harijan Basti,28.7555,77.1983,278.0
279,U02216,Burari Village,28.7541,77.199,279.0
280,U02214,Sarvodhya Vidhyalay Burari,28.7492333333333,77.1985666666667,280.0
281,U02200,Balti Factory,28.7467,77.1983,281.0
282,U02182,Sant Nagar Main Market,28.7418,77.19800000000002,282.0
283,U02160,Sant Nagar A-1,28.7377,77.1973,283.0
284,U02169,Jharoda Dairy Crossing,28.734483,77.197717,284.0
285,U02199,Burari Transport Authority,28.730567,77.19846700000002,285.0
286,U02185,Nirankari Sarover- Burari Xing,28.72773,77.19806700000002,286.0
287,DC0055,CV Raman ITI,28.72095,77.20015,287.0
288,U02301,Nirankari Colony,28.714883,77.2041,288.0
289,U02327,Radio Colony,28.7112333333333,77.2045,289.0
290,U09586,Dhaka Village,28.706789,77.20473299999998,290.0
291,U02325,Balmiki Gandhi Ashram,28.70458,77.205033,291.0
292,U02318,TB Hospital,28.700567,77.205017,292.0
293,U02350,GTB Nagar,28.698267,77.206457,293.0
294,U02613,Khyber Pass,28.6902,77.2214,294.0
295,U02620,Vidhan Sabha Metro Station,28.68775,77.22165,295.0
296,U02628A,Old Secretariat (Postal Account Office),28.683883333333306,77.22228333333331,296.0
297,U99851,IP College,28.680515000000003,77.223439,297.0
298,DC3689,Exchange Store / Civil Lines Metro Station,28.676717,77.225033,298.0
299,U02700,Ludlow Castle,28.6724,77.226,299.0
300,DC3596,ISBT Nityanand Marg,28.668217,77.2253,300.0
301,U01890,Natthupura Terminal,28.768915000000003,77.18095,301.0
302,U02125,Burari Garhi,28.7578,77.1952,302.0
303,U02176,Sant Nagar A-1,28.7387,77.1975,303.0
304,U02395,GTB Nagar / Haqiqat Nagar,28.698283,77.2076,304.0
305,U02421,Sewa Kutir,28.70265,77.2098166666667,305.0
306,U02458,BBM Cluster Depot,28.704317,77.21118299999998,306.0
307,DC4855,Madanpur Khadar JJ Colony,28.532504,77.314937,307.0
308,DC4856,Madanpur Khadar Crossing,28.531925,77.304505,308.0
309,DC4857,Kalindi Kunj Metro Station,28.543017,77.309483,309.0
310,DC4858,Kalindi Kunj,28.545083,77.306217,310.0
311,DC4859,Shaheen Bagh,28.542817,77.30305,311.0
312,DC4860,Jasola Vihar,28.5404,77.2968,312.0
313,DC4861,Sarita Vihar K Block,28.538333,77.29186700000002,313.0
314,U03351,Apollo Hospital,28.5396,77.2825,314.0
315,U03323,Harkesh Nagar,28.543767,77.2793,315.0
316,U03292,Okhla Tank,28.548017,77.276567,316.0
317,U03273,CRRI,28.551067,77.27395,317.0
318,U03249,Sukhdev Vihar Depot,28.554867,77.27125,318.0
319,U03225,Kalkaji Xing,28.55795,77.26895,319.0
320,U03204,Ishwar Nagar,28.5616,77.266217,320.0
321,U03171,New Friends Colony,28.5667,77.2624,321.0
322,U03148S,Ashram Chowk,28.57123300000001,77.259017,322.0
323,U03121,Ashram (Hari Nagar),28.574146,77.25683599999998,323.0
324,U03049,Bhogal,28.5828,77.2511,324.0
325,U03037,Bhogal (Jungpura),28.58465,77.249617,325.0
326,U03000,Nizamuddin Extension,28.589233,77.2463,326.0
327,U02974,Police Station Nizamuddin (Dargah),28.591667,77.244633,327.0
328,U02860,Ishpat Bhawan,28.5924,77.23675,328.0
329,DC0094,JLN Stadium (Sunehripulla Depot),28.591833,77.232383,329.0
330,U02661,Lodhi Colony 18-Block,28.586733,77.22425,330.0
331,U99988,Lodhi Colony,28.584816999999997,77.224533,331.0
332,DC0098,Kushak Nallah Depot,28.580036,77.22513199999999,332.0
333,DC3821,Madanpur Khadar Village,28.532280600000004,77.296803,333.0
334,U03421,Madanpur Khadar Crossing,28.52965,77.287933,334.0
335,U03398,Sarita Vihar,28.53205,77.286917,335.0
336,U03077,Nehru Nagar,28.568283,77.253917,336.0
337,U03024,Lajpat Nagar Ring Road,28.56533300000001,77.24845,337.0
338,U02941,Gupta Market,28.564833,77.241433,338.0
339,U03997A,Gupta Market,28.56485,77.239667,339.0
340,U02843,MCKR Hospital,28.569167,77.23525,340.0
341,U02867,Defence Colony,28.573,77.237367,341.0
342,U02923,Pant Nagar,28.5841,77.2406,342.0
343,U02930,CGO Complex,28.587033,77.2408,343.0
344,U02920,Amir Khusro Park / Oberoi Hotel,28.596267,77.240433,344.0
345,U99968,Delhi Public School,28.598783,77.2406,345.0
346,U02904,Sunder Nagar,28.602217,77.2404,346.0
347,U02899,Zoo,28.6084,77.23995,347.0
348,U02897,National Stadium,28.61168300000001,77.23996700000002,348.0
349,U02901,ITPO Gate No. 3,28.6155,77.24015,349.0
350,U02907,Pragati Maidan Gate No. 5,28.618483,77.240183,350.0
351,U02909,Supreme Court,28.621517,77.24033299999998,351.0
352,U99740,Pragati Maidan Metro Station,28.623433,77.240567,352.0
353,U02934,ITO (Agarwal Chowk),28.628867,77.24115,353.0
354,U02929,Express Building,28.6339,77.2408,354.0
355,U02932,Delhi Gate,28.637267,77.24091700000002,355.0
356,U02918,Darya Ganj,28.644033,77.24035,356.0
357,U02893,Subhash Park,28.649317,77.23935,357.0
358,U02879,Jama Masjid,28.651317,77.237833,358.0
359,U02858,Red Fort,28.65405,77.23645,359.0
360,U02807,Old Delhi Railway Station,28.6579,77.2319,360.0
361,DC5414,Sarang Pur Village,28.542754,76.888747,361.0
362,DC5412,JhulJhuli Village,28.534792,76.904321,362.0
363,DC4023,Jhul-Jhuli Check Post / Ghumanhera Crossing,28.535283000000003,76.90933299999998,363.0
364,DC4578,Malik Pur Village Crossing,28.552333,76.907483,364.0
365,DC4025,Ujwa Gaon,28.568783000000003,76.9067,365.0
366,DC4009,Ujwa School,28.570387,76.90719,366.0
368,DC4026,Samaspur Khalsa,28.578549,76.909937,368.0
370,U00055,Rawta Crossing,28.600355,76.915846,370.0
371,U00069,Surehra Crossing,28.604417,76.9324,371.0
372,U00078,Mitraon School,28.606975,76.93930999999998,372.0
373,U00086,Mitraon Village,28.608213,76.94733599999998,373.0
374,DC4746,Mitraon Extension,28.6084,76.951551,374.0
375,U00116,Indra Service Station,28.608833,76.96001700000002,375.0
376,U00158,Nanak Piyau,28.609467,76.96776700000002,376.0
377,U00168,Prem Nursary,28.610333,76.9713,377.0
378,U00184,Khera More / Ghuman Hera Crossing,28.611483000000003,76.97586700000002,378.0
379,U00202,Jharoda Crossing,28.613575,76.979586,379.0
380,U00192,Najafgarh Terminal,28.614689,76.97754300000003,380.0
381,U01725,Shalimar Bagh (Ring Road),28.7033,77.1689,381.0
382,U01667,Ashok Vihar Crossing,28.701996,77.165407,382.0
383,U01613,Shalimar Bagh Richi Rich,28.70135,77.16376,383.0
384,U01576,Prem Bari Pul,28.6999,77.1583,384.0
385,U01546,Punjab Kesari (Subhash Palace Depot),28.696,77.1558,385.0
386,DC0031,Wazirpur DTC Depot / Netaji Subhash Palace,28.6937,77.1512,386.0
387,U01448,Pitampura ND Block,28.6954,77.1461,387.0
388,U01392,Kohat Enclave Metro Station,28.6972,77.1421,388.0
389,U01338,VaishaliEnclave / Kapil Vihar,28.6997,77.1371,389.0
390,U01298,JD Block Pitam Pura,28.7014,77.1347,390.0
391,U01272,PitampuraMetro Stn (MadhuvanChowk),28.7029,77.1325,391.0
392,U01252,Madhuban Chowk Outer Ring Road,28.70132000000001,77.1274,392.0
393,U01199,SaraswatiVihar C Block,28.700133,77.12525,393.0
394,U01135,Deepali Chowk,28.6980166666667,77.1195,394.0
395,U01086,Kali Mata Mandir,28.6969,77.1154,395.0
396,U01059,Puspanjali Enclave,28.6958,77.1115,396.0
397,U01043,Rohini Depot - 3,28.6952,77.1094,397.0
398,U99992,Mangolpur School,28.6945,77.1066,398.0
399,U00979,Mangolpur Kalan Village,28.695616666666695,77.1011833333333,399.0
400,DC0011,Avantika Crossing,28.69875,77.0964,400.0
401,U00896,Mangol Pur Khurd,28.699967,77.094383,401.0
402,U00832,Mangolpuri Y Block,28.702717,77.089517,402.0
403,U00797,Budh Vihar,28.704333,77.086917,403.0
404,U00765,Krishna Vihar,28.70965,77.081117,404.0
405,U00723,Brahm Shakti Hospital,28.7125,77.0805,405.0
406,U00682,Pooth Kalan,28.714233,77.07691700000002,406.0
407,U00618,Rohini Sec-21,28.7187,77.0696,407.0
408,U00591,Begumpur,28.7217,77.06495,408.0
409,U00544,Rajeev Nagar,28.7247333333333,77.05875,409.0
410,U00518,Karala Pathsala Jain Mandir,28.726356,77.053345,410.0
411,U00484,Sukhbeer Nagar,28.727533,77.04895,411.0
412,U00465,Rama Vihar,28.728583,77.045817,412.0
413,U00443,Karala School,28.730681,77.039664,413.0
414,U00429,Karala Village,28.7315,77.03699999999998,414.0
415,U99798,Karala Crossing,28.731601,77.031627,415.0
416,U99807,Desu Office,28.7325,77.0284,416.0
417,DC0007,Shiv Vihar Bheem Chowk,28.7333,77.025,417.0
418,U99798A,Radha Swami Satsang,28.73384,77.0208,418.0
419,U00352,Shivam Plywood,28.7352,77.0125833333333,419.0
420,DC4667,Kanjhawla Chowk,28.737911,77.00692,420.0
421,DC4668,Nirmal Hospital,28.73842800000001,77.00439899999998,421.0
422,DC4670,Ladpur Village,28.739490000000004,76.997517,422.0
423,DC4671,Rajendra Lakra Public School,28.740338,76.994313,423.0
424,DC4672,Sant Vivekanand School,28.74225,76.9865,424.0
425,DC4673,Vriddha Ashram,28.744467,76.980917,425.0
426,DC4674,Jonti Crossing,28.74615,76.978217,426.0
427,DC4675,Jonti Village,28.753289,76.971848,427.0
428,DC4676,Tatesar Village,28.755872,76.968475,428.0
429,DC4678,Balaji Enclave,28.767498,76.96455999999998,429.0
430,DC4679,Punjab Khor Village,28.773006,76.962094,430.0
431,DC4680,Punjab Khor Village,28.7779,76.9614,431.0
